# Simulation 1 (Up to date)
# 491 data points written for 2 variables.
#
# Drag coefficient (​),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
1.122,0.006
1.119,0.006
1.076,0.008
# Event LIFTOFF occurred at t=0.016 seconds
1.009,0.013
0.957,0.02
0.924,0.028
0.916,0.03
0.906,0.034
0.903,0.039
0.903,0.046
0.903,0.051
0.903,0.054
0.903,0.059
0.903,0.063
0.903,0.067
# Event LAUNCHROD occurred at t=0.088 seconds
0.903,0.071
0.904,0.077
0.904,0.081
0.904,0.087
0.904,0.095
0.905,0.103
0.905,0.11
0.905,0.117
0.906,0.124
0.906,0.132
0.907,0.14
0.907,0.15
0.909,0.165
0.909,0.172
0.91,0.183
0.911,0.191
0.911,0.197
0.912,0.202
0.912,0.206
0.913,0.21
0.913,0.214
0.913,0.218
0.914,0.223
0.914,0.227
0.915,0.23
0.915,0.234
0.915,0.237
0.916,0.241
0.916,0.246
0.917,0.251
0.918,0.257
0.918,0.26
0.919,0.265
0.92,0.271
0.921,0.282
0.922,0.287
0.922,0.291
0.923,0.294
0.923,0.297
0.923,0.301
0.924,0.304
0.924,0.307
0.925,0.31
0.925,0.313
0.926,0.316
0.926,0.319
0.927,0.324
0.928,0.329
0.929,0.336
0.931,0.348
0.932,0.353
0.932,0.356
0.933,0.36
0.933,0.362
0.934,0.365
0.934,0.368
0.935,0.371
0.935,0.374
0.936,0.378
0.937,0.382
0.938,0.387
0.939,0.395
0.941,0.404
0.942,0.408
0.942,0.411
0.943,0.414
0.943,0.417
0.944,0.42
0.945,0.424
0.945,0.428
0.946,0.43
0.947,0.433
0.948,0.438
0.949,0.445
0.95,0.449
0.951,0.452
0.951,0.455
0.952,0.458
0.953,0.461
0.953,0.465
0.954,0.469
0.956,0.475
0.957,0.482
0.958,0.486
0.959,0.489
0.959,0.491
0.96,0.494
0.961,0.497
0.961,0.5
0.963,0.505
0.964,0.513
0.966,0.517
0.967,0.522
0.967,0.525
0.968,0.528
0.969,0.532
0.971,0.539
0.972,0.541
0.972,0.544
0.973,0.548
0.975,0.552
0.976,0.556
0.977,0.561
0.979,0.568
0.98,0.571
0.981,0.574
0.982,0.578
0.982,0.581
0.983,0.584
0.984,0.585
0.984,0.587
0.984,0.588
0.984,0.588
0.984,0.588
0.984,0.588
0.984,0.588
0.984,0.587
0.983,0.585
0.983,0.584
0.983,0.584
0.983,0.582
0.982,0.58
0.981,0.577
0.981,0.576
0.98,0.574
0.98,0.571
0.979,0.569
0.978,0.567
0.977,0.562
0.977,0.561
0.976,0.559
0.976,0.557
# Event BURNOUT occurred at t=0.92 seconds
0.975,0.554
0.974,0.551
0.973,0.547
0.971,0.541
0.971,0.537
0.97,0.534
0.968,0.528
0.967,0.524
0.966,0.519
0.964,0.512
0.962,0.501
0.961,0.497
0.959,0.491
0.958,0.484
0.955,0.474
0.954,0.469
0.953,0.462
0.95,0.451
0.949,0.446
0.947,0.438
0.945,0.428
0.944,0.419
0.942,0.411
0.94,0.402
0.939,0.394
0.937,0.386
0.936,0.379
0.935,0.371
0.933,0.364
0.932,0.357
0.931,0.35
0.93,0.344
0.929,0.338
0.928,0.331
0.927,0.325
0.926,0.32
0.925,0.314
0.925,0.309
0.924,0.303
0.923,0.298
0.922,0.293
0.922,0.288
0.921,0.283
0.92,0.279
0.92,0.274
0.919,0.269
0.919,0.265
0.918,0.261
0.918,0.257
0.917,0.253
0.917,0.249
0.916,0.245
0.916,0.241
0.915,0.237
0.915,0.233
0.915,0.23
0.914,0.226
0.914,0.223
0.913,0.219
0.913,0.216
0.913,0.213
0.913,0.21
0.912,0.208
0.912,0.205
0.912,0.202
0.912,0.2
0.911,0.197
0.911,0.195
0.911,0.192
0.911,0.189
0.91,0.187
0.91,0.185
0.91,0.182
0.91,0.18
0.91,0.177
0.909,0.176
0.909,0.174
0.909,0.172
0.909,0.169
0.909,0.166
0.909,0.164
0.908,0.161
0.908,0.159
0.908,0.157
0.908,0.154
0.908,0.152
0.907,0.149
0.907,0.147
0.907,0.145
0.907,0.143
0.907,0.14
0.907,0.138
0.907,0.136
# Event EJECTION_CHARGE occurred at t=4.92 seconds
0.906,0.135
0.906,0.133
0.906,0.131
0.906,0.129
0.906,0.127
0.906,0.125
0.906,0.123
0.906,0.121
0.906,0.119
0.905,0.117
0.905,0.115
0.905,0.113
0.905,0.111
0.905,0.109
0.905,0.107
0.905,0.105
0.905,0.103
0.905,0.101
0.905,0.1
0.904,0.098
0.904,0.096
0.904,0.094
0.904,0.092
0.904,0.091
0.904,0.089
0.904,0.087
0.904,0.085
0.904,0.084
0.904,0.082
0.904,0.08
0.904,0.079
0.904,0.077
0.904,0.075
0.903,0.074
0.903,0.072
0.903,0.07
0.903,0.069
0.903,0.067
0.903,0.065
0.903,0.064
0.903,0.062
0.903,0.061
0.903,0.059
0.903,0.058
0.903,0.056
0.903,0.054
0.903,0.053
0.903,0.051
0.903,0.05
0.903,0.048
0.903,0.047
0.903,0.045
0.903,0.044
0.903,0.043
0.903,0.041
0.903,0.039
0.903,0.038
0.904,0.037
0.907,0.035
0.911,0.034
0.915,0.032
0.919,0.031
0.923,0.029
0.928,0.028
0.932,0.027
0.938,0.025
0.943,0.024
0.948,0.023
0.955,0.021
0.962,0.02
0.97,0.019
0.976,0.018
0.984,0.016
0.992,0.015
1.002,0.014
1.016,0.013
1.029,0.011
1.041,0.01
1.053,0.009
1.064,0.009
1.079,0.008
1.079,0.008
# Event APOGEE occurred at t=9.001 seconds
1.084,0.008
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=9.002 seconds
52.593,0.008
52.593,0.009
52.593,0.011
52.593,0.013
52.593,0.016
52.593,0.018
52.593,0.021
52.593,0.023
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.025
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
52.593,0.024
# Event GROUND_HIT occurred at t=78.493 seconds
# Event SIMULATION_END occurred at t=78.493 seconds
52.593,0.024
